[2026-08-15 08:25:30,062] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449820K) : metal2_noqrc has 0 polygons
[2026-08-15 08:25:30,062] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449820K) : metal2_res has 0 polygons
[2026-08-15 08:25:30,063] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449948K) : metal2_iprobe has 0 polygons
[2026-08-15 08:25:30,064] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450076K) : metal2_diffprb has 0 polygons
[2026-08-15 08:25:30,064] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450204K) : baspoly_drw has 0 polygons
[2026-08-15 08:25:30,065] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450204K) : baspoly_pin has 0 polygons
[2026-08-15 08:25:30,065] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450332K) : psd_drw has 11 polygons
[2026-08-15 08:25:30,066] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450332K) : nldb_drw has 0 polygons
[2026-08-15 08:25:30,066] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (450460K) : digibnd_drw has 0 polygons
[2026-08-15 08:25:30,067] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450460K) : via1_drw has 131 polygons
[2026-08-15 08:25:30,067] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450588K) : backmetal1_drw has 0 polygons
[2026-08-15 08:25:30,068] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450716K) : backmetal1_pin has 0 polygons
[2026-08-15 08:25:30,069] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450716K) : backmetal1_mask has 0 polygons
[2026-08-15 08:25:30,069] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450844K) : backmetal1_filler has 0 polygons
