16-Aug-2026 09:01:32 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
16-Aug-2026 09:01:32 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
16-Aug-2026 09:01:32 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/oa_sar8_acore13.gds, topcell: oa_sar8_acore13
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_text has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_opc has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_noqrc has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_res has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_iprobe has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_diffprb has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backpassiv_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : res_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : sram_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : trans_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : ind_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : ind_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : ind_text has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : salblock_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : via2_drw has 710 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_drw has 1073 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_pin has 156 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_mask has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_text has 156 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_noqrc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_res has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal3_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nwell_drw has 50 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nwell_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nbulay_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nbulay_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nbulay_block has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : emwind_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : emwind_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : deepco_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : deepco_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : mim_drw has 514 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : edgeseal_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : edgeseal_bound has 0 polygons
