15-Aug-2026 23:21:57 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
15-Aug-2026 23:21:57 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
15-Aug-2026 23:21:57 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/sw/sw_bitcell11.gds, topcell: sw_bitcell11
2026-08-15 23:21:59 +0200: Memory Usage (453604K) : antmetal2_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453732K) : graphcont_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453732K) : siwg_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453732K) : siwg_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453860K) : siwg_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453860K) : sigrating_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453988K) : singrating_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453988K) : graphpas_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454116K) : emwind3_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454116K) : emwihv3_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454116K) : redbulay_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454116K) : smos_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454244K) : graphpad_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454244K) : polimide_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454244K) : polimide_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454244K) : recog_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454372K) : recog_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454372K) : recog_esd has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454500K) : recog_diode has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454500K) : recog_tsv has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454500K) : recog_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454628K) : recog_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454628K) : recog_pillar has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454756K) : recog_sbump has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454756K) : recog_otp has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454756K) : recog_pdiode has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454884K) : recog_mom has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (454884K) : recog_pcm has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455012K) : colopen_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455012K) : graphmetal1_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455140K) : graphmetal1_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455140K) : graphmetal1_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455140K) : graphmetal1_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455268K) : graphmetal1_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455268K) : graphmet1l_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455396K) : graphmet1l_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455396K) : graphmet1l_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455524K) : graphmet1l_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455524K) : graphmet1l_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455524K) : extblock_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455652K) : nldd_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455652K) : pldd_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455780K) : next_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455780K) : pext_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455780K) : nexthv_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455908K) : pexthv_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (455908K) : graphgate_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456036K) : sinwg_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456036K) : sinwg_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456164K) : sinwg_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456164K) : mempad_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456164K) : topvia1_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456292K) : topmetal1_res has 0 polygons
